account_id,account_name,domain,industry,employee_range,country,lifecycle_stage,created_date,last_activity_date,owner,arr_eur,renewal_date,created_date_parsed,created_date_format,last_activity_date_parsed,last_activity_date_format,renewal_date_parsed,renewal_date_format,country_clean,domain_clean,domain_root,domain_source,has_domain,name_norm,dup_marker,last_activity_flag,entity_id,is_master,merged_into
ACC-003248,Yellodordata SA,yellodordata.com,Manufacturing,201-500,nederland,prospect,2022-12-13,05/19/24,a.morel,,,2022-12-13,iso,2024-05-19,mdy,,empty,NL,yellodordata.com,yellodordata,declared,1,yellodordata,,,ENT-19722,0,ACC-005888
ACC-003361,Optihalmobility SAS,optihalmobility.com,Education,501-1000,United Kingdom,lost,21/03/2022,2024-04-15,m.delacroix,,,2022-03-21,dmy,2024-04-15,iso,,empty,GB,optihalmobility.com,optihalmobility,declared,1,optihalmobility,,,ENT-12446,1,
ACC-024332,Belfoventech SAS,belfoventech.co,Logistics,11-50,Italie,prospect,2018-12-21,16/05/2026,j.vandenberg,,,2018-12-21,iso,2026-05-16,dmy,,empty,IT,belfoventech.co,belfoventech,declared,1,belfoventech,,,ENT-01638,1,
ACC-008775,Serenihallogic & Co,serenihallogic.fr,Consulting,11-50,FR,customer,08/01/19,,l.moreau,40000,28/03/2027,2019-08-01,mdy,,empty,2027-03-28,dmy,FR,serenihallogic.fr,serenihallogic,declared,1,serenihallogic,,,ENT-15308,1,
ACC-005657,Brionexpartners SA,www.brionexpartners.io,Automotive,11-50,Fr,opportunity,06/21/25,2026-01-29,a.morel,,,2025-06-21,mdy,2026-01-29,iso,,empty,FR,brionexpartners.io,brionexpartners,declared,1,brionexpartners,,,ENT-01916,1,
ACC-005830,DelfifinRetail Group,delfifinretail.com,Real Estate,51-200,Suisse,prospect,2022-08-15,01/09/23,l.moreau,,,2022-08-15,iso,2023-01-09,mdy,,empty,CH,delfifinretail.com,delfifinretail,declared,1,delfifinretail,,,ENT-03399,1,
ACC-025902,TalolexWorks SARL,talolexworks.eu,Financial Services,11-50,Espagne,lost,11/06/2019,20/12/2025,,,,2019-06-11,dmy,2025-12-20,dmy,,empty,ES,talolexworks.eu,talolexworks,declared,1,talolexworks,,,ENT-16973,1,
ACC-027796,NordinexFinance,nordinexfinance.com,Automotive,51-200,FR,customer,13/04/2024,03/04/2025,s.okafor,12000,05/07/2026,2024-04-13,dmy,2025-04-03,dmy,2026-07-05,dmy,FR,nordinexfinance.com,nordinexfinance,declared,1,nordinexfinance,,,ENT-11710,1,
ACC-011954,CendraData,www.cendradata.eu,Automotive,501-1000,FRANCE,lead,13/02/2020,,p.lindqvist,,,2020-02-13,dmy,,empty,,empty,FR,cendradata.eu,cendradata,declared,1,cendradata,,,ENT-02550,1,
ACC-019345,EderipraFlow France,www.ederipraflow.fr,,201-500,GB,customer,16/02/2025,01/08/2025,j.vandenberg,40000,29/06/2026,2025-02-16,dmy,2025-08-01,dmy,2026-06-29,dmy,GB,ederipraflow.fr,ederipraflow,declared,1,ederipraflow,,,ENT-04404,1,
ACC-002947,IvoroviaIndustries,www.ivoroviaindustries.fr,Telecom,51-200,Germany,opportunity,01/06/24,14/01/2024,p.lindqvist,,,2024-01-06,mdy,2024-01-14,dmy,,empty,DE,ivoroviaindustries.fr,ivoroviaindustries,declared,1,ivoroviaindustries,,,ENT-08625,1,
ACC-009923,PrimofinSoft & Co,,Retail,501-1000,Allemagne,opportunity,2023-09-16,,j.vandenberg,,,2023-09-16,iso,,empty,,empty,DE,,primofinsoft,inferred_from_contacts,1,primofinsoft,,,ENT-13636,1,
ACC-020246,BriogorMobility,briogormobility.eu,Automotive,11-50,Netherlands,lost,19/03/2025,10/03/25,a.morel,,,2025-03-19,dmy,2025-10-03,mdy,,empty,NL,briogormobility.eu,briogormobility,declared,1,briogormobility,,,ENT-01784,0,ACC-011646
