entity_id,name,name_norm,master_id,n_records,account_ids,domain,domain_root,country,industry,employee_range,lifecycle_consolidated,a_ete_client,deal_en_cours,arr_eur,arr_actif,arr_ex_client,renewal_date,arr_source_account,owner,owner_source_account,created_date_min,last_activity_max,country_conflict,arr_conflict,owner_conflict,lifecycle_conflict,review_churned_vs_opportunity,owner_a_router,segment,play_segment,segment_evidence
ENT-00001,AltabelConseil & Co,altabelconseil,ACC-006635,2,ACC-010370|ACC-006635,altabelconseil.io,altabelconseil,NL,Education,51-200,lead,0,0,,,,,,c.rinaldi,ACC-010370,2022-05-20,2026-05-18,1,0,0,1,0,0,DORMANT,aucun,declared_field
ENT-00002,AltabelConsulting Group,altabelconsulting,ACC-022522,2,ACC-022522|ACC-019297,altabelconsulting.eu,altabelconsulting,BE,Healthcare,201-500,churned,1,0,3000,,3000,,ACC-022522,t.becker,ACC-022522,2020-09-26,2023-08-06,1,0,1,1,0,0,EX_CLIENT,win_back_froid,events
ENT-00003,Altabeldata SA,altabeldata,ACC-024004,2,ACC-016833|ACC-024004,altabeldata.fr,altabeldata,FR,Energy,501-1000,customer,1,0,25000,25000,,2027-05-06,ACC-024004,a.morel,ACC-024004,2021-04-25,2026-04-10,1,0,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00004,Altabeldigital,altabeldigital,ACC-014804,1,ACC-014804,altabeldigital.fr,altabeldigital,IT,Energy,51-200,lead,0,0,,,,,,l.moreau,ACC-014804,2021-01-15,2023-12-22,0,0,0,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00005,Altabeldynamics & Co,altabeldynamics,ACC-010084,2,ACC-001994|ACC-010084,altabeldynamics.io,altabeldynamics,FR,Telecom,201-500,lead,0,0,,,,,,,,2019-08-28,2025-09-28,1,0,0,1,0,1,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00006,Altabelenergie SAS,altabelenergie,ACC-005562,1,ACC-005562,altabelenergie.com,altabelenergie,FR,Real Estate,51-200,prospect,0,0,,,,,,a.morel,ACC-005562,2025-04-05,2026-04-11,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00007,Altabelfinance,altabelfinance,ACC-010696,2,ACC-010696|ACC-019984,altabelfinance.io,altabelfinance,FR,Retail,1-10,churned,1,0,5000,,5000,,ACC-010696,a.morel,ACC-010696,2023-05-17,2026-06-19,1,0,1,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00008,AltabelFlow SARL,altabelflow,ACC-022944,1,ACC-022944,altabelflow.co,altabelflow,FR,,11-50,lead,0,0,,,,,,s.okafor,ACC-022944,2022-02-14,2023-09-26,0,0,0,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00009,AltabelFood & Co,altabelfood,ACC-000242,2,ACC-000242|ACC-029022,altabelfood.com,altabelfood,BE,Automotive,11-50,prospect,0,0,,,,,,j.vandenberg,ACC-000242,2020-01-07,2026-04-07,0,0,0,1,0,0,DORMANT,aucun,declared_field
ENT-00010,AltabelForge SARL,altabelforge,ACC-009350,1,ACC-009350,altabelforge.io,altabelforge,DE,Media,1-10,prospect,0,0,,,,,,a.morel,ACC-009350,2025-11-07,2026-02-18,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00011,AltabelGroup France,altabelgroup,ACC-004984,1,ACC-004984,altabelgroup.co,altabelgroup,NL,Construction,11-50,customer,1,0,12000,12000,,2027-07-10,ACC-004984,p.lindqvist,ACC-004984,2025-05-12,2025-07-06,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00012,Altabelhub,altabelhub,ACC-012182,2,ACC-028155|ACC-012182,altabelhub.com,altabelhub,BE,Construction,11-50,opportunity,0,1,,,,,,p.lindqvist,ACC-028155,2018-12-15,2025-12-19,1,0,0,1,0,0,DORMANT,aucun,declared_field
ENT-00013,Altabelimmo France,altabelimmo,ACC-022084,3,ACC-017046|ACC-029015|ACC-022084,altabelimmo.eu,altabelimmo,CH,Retail,501-1000,lead,0,0,,,,,,l.moreau,ACC-022084,2024-04-18,2026-07-14,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00014,AltabelLab Group,altabellab,ACC-014956,1,ACC-014956,altabellab.co,altabellab,BE,Healthcare,51-200,customer,1,0,40000,40000,,2026-10-05,ACC-014956,m.delacroix,ACC-014956,2019-09-28,2024-04-19,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00015,AltabelLogic Group,altabellogic,ACC-014334,2,ACC-014334|ACC-011579,altabellogic.com,altabellogic,FR,Manufacturing,51-200,churned,1,0,12000,,12000,,ACC-014334,s.okafor,ACC-014334,2020-03-08,2024-10-27,1,0,0,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00016,Altabellogistics SA,altabellogistics,ACC-001423,2,ACC-029325|ACC-001423,altabellogistics.fr,altabellogistics,FR,Healthcare,51-200,customer,1,0,5000,5000,,2027-07-05,ACC-001423,t.becker,ACC-001423,2019-10-18,2022-08-07,0,0,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00017,AltabelMedia,altabelmedia,ACC-021671,1,ACC-021671,altabelmedia.fr,altabelmedia,DE,Energy,11-50,prospect,0,0,,,,,,s.okafor,ACC-021671,2020-11-02,2020-11-09,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00018,Altabelmobility Group,altabelmobility,ACC-011035,1,ACC-011035,altabelmobility.fr,altabelmobility,FR,Healthcare,11-50,prospect,0,0,,,,,,,,2025-01-08,2026-06-14,0,0,0,0,0,1,DORMANT,aucun,declared_field
ENT-00019,Altabelpartners,altabelpartners,ACC-023931,2,ACC-023931|ACC-017223,altabelpartners.com,altabelpartners,BE,Software,1-10,customer,1,0,18000,18000,,2026-11-28,ACC-023931,a.morel,ACC-017223,2024-12-24,2026-04-11,1,0,0,1,0,0,CLIENT_ACTIF,retention,events
