contact_id,entity_id,entreprise,job_title,persona_tier,raison,adresse_a_existe,linkedin_vu,nb_events_net
CON-020610,ENT-11334,NeopraImmo,HR Assistant,utilisateur,adresse_perso,0,0,0
CON-029634,ENT-01784,Briogormobility & Co,HR Business Partner,champion,sans_adresse,1,0,3
CON-005608,ENT-14959,RoccamarConsulting Group,Talent Acquisition Specialist,utilisateur,sans_adresse,1,0,7
CON-052559,ENT-16701,SylvarinPharma & Co,Recruiter,utilisateur,sans_adresse,0,0,0
CON-064451,ENT-12337,OpticalLab & Co,Compensation & Benefits Manager,champion,adresse_perso,1,0,3
CON-059595,ENT-17993,UlmivenData Group,People Ops Manager,champion,sans_adresse,1,0,6
CON-032701,ENT-05459,Fernofinhub,Recruiter,utilisateur,sans_adresse,0,0,0
CON-060221,ENT-14816,RoccadorImmo,HR Assistant,utilisateur,sans_adresse,0,0,0
CON-055166,ENT-20250,ZephiImmo,Recruiter,utilisateur,adresse_perso,1,0,2
CON-053339,ENT-03639,DelfisolHub SARL,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-048762,ENT-11063,Meriviaconsulting France,Head of People,buyer,sans_adresse,0,0,0
CON-064272,ENT-10011,LumilexFlow SA,Head of HR Operations,buyer,sans_adresse,1,0,4
CON-050183,ENT-03011,CortifinSolutions SA,Executive Assistant,bruit,sans_adresse,0,0,0
CON-032821,ENT-18407,Vectotech SARL,COO,buyer,sans_adresse,0,0,0
CON-064470,ENT-07483,HeliofinDigital,HRBP,champion,adresse_perso,1,0,5
CON-074023,ENT-00676,ArdenPharma,HR Director,buyer,sans_adresse,0,0,0
CON-067521,ENT-19732,Yellodorimmo SARL,Directeur RH,buyer,sans_adresse,0,0,0
CON-045466,ENT-14210,Quantipralogistics France,,sans_titre,sans_adresse,0,0,0
CON-049262,ENT-07808,Iberibelconsulting SAS,HR Business Partner,champion,sans_adresse,0,0,0
CON-067245,ENT-03520,DelfimarHub,HR Business Partner,champion,adresse_perso,1,0,9
CON-015505,ENT-06962,GrimovenHub Group,Head of People,buyer,sans_adresse,0,0,0
CON-055570,ENT-12211,NovarinWorks France,People Ops Coordinator,utilisateur,adresse_perso,0,0,0
CON-034044,ENT-07258,HaldequiData & Co,,sans_titre,adresse_perso,0,0,0
CON-018964,ENT-16612,SylvaMedia,HR Intern,bruit,sans_adresse,0,0,0
CON-006438,ENT-15651,SolidorWorks SARL,COO,buyer,adresse_perso,0,0,0
CON-011663,ENT-07060,HaldedorServices SARL,HR Intern,bruit,sans_adresse,1,0,3
